strategy,stock,entry_date,exit_date,entry_type,entry_price,exit_type,exit_price,shares,profit
xg3_entry_open_exit_open,AGN,2014-04-28,2014-05-05,open,199.87,open,201.11,50,62.000000000000455
xg3_entry_open_exit_open,AGN,2014-05-08,2014-05-23,open,201.13,open,213.55,49,608.5800000000008
xg3_entry_open_exit_open,AGN,2014-05-09,2014-05-23,open,196.0,open,213.55,51,895.0500000000006
xg3_entry_open_exit_open,AGN,2014-05-20,2014-05-23,open,207.73,open,213.55,48,279.36000000000104
xg3_entry_open_exit_open,CRM,2016-10-05,2016-10-10,open,68.21,open,73.58,146,784.0200000000007
xg3_entry_open_exit_open,CRM,2016-10-19,2016-10-20,open,72.61,open,72.97,137,49.31999999999992
xg3_entry_open_exit_open,CRM,2016-10-20,2016-10-20,open,72.97,open,72.97,137,0.0
xg3_entry_open_exit_open,M,2017-11-06,2017-12-08,open,18.32,open,25.37,545,3842.2500000000005
xg3_entry_open_exit_open,M,2017-11-07,2017-12-08,open,18.16,open,25.37,550,3965.5000000000005
xg3_entry_open_exit_open,M,2017-11-08,2017-12-08,open,17.51,open,25.37,571,4488.0599999999995
xg3_entry_open_exit_open,M,2017-11-22,2017-12-08,open,20.54,open,25.37,486,2347.380000000001
xg3_entry_open_exit_open,M,2017-11-24,2017-12-08,open,21.3,open,25.37,469,1908.8300000000002
xg3_entry_open_exit_open,M,2017-11-24,2017-12-08,open,21.3,open,25.37,469,1908.8300000000002
xg3_entry_open_exit_open,M,2017-11-24,2017-12-08,open,21.3,open,25.37,469,1908.8300000000002
xg3_entry_open_exit_open,M,2017-11-24,2017-12-08,open,21.3,open,25.37,469,1908.8300000000002
xg3_entry_open_exit_open,M,2017-11-27,2017-12-08,open,21.14,open,25.37,473,2000.7900000000002
xg3_entry_open_exit_open,M,2017-11-30,2017-12-08,open,24.15,open,25.37,414,505.080000000001
xg3_entry_open_exit_open,M,2017-11-30,2017-12-08,open,24.15,open,25.37,414,505.080000000001
xg3_entry_open_exit_open,M,2017-11-30,2017-12-08,open,24.15,open,25.37,414,505.080000000001
xg3_entry_open_exit_open,M,2017-11-30,2017-12-08,open,24.15,open,25.37,414,505.080000000001
xg3_entry_open_exit_open,M,2017-12-01,2017-12-08,open,23.84,open,25.37,419,641.0700000000005
xg3_entry_open_exit_open,MU,2015-07-27,2015-07-28,open,18.1,open,18.35,552,138.0
xg3_entry_open_exit_open,MU,2015-08-05,2015-08-06,open,19.18,open,18.93,521,-130.25
xg3_entry_open_exit_open,MU,2015-08-24,2015-09-04,open,13.81,open,16.3,724,1802.7600000000002
xg3_entry_open_exit_open,MU,2015-09-01,2015-09-04,open,15.8,open,16.3,632,316.0
xg3_entry_open_exit_open,MU,2015-09-02,2015-09-04,open,16.09,open,16.3,621,130.41000000000054
xg3_entry_open_exit_open,NFLX,2016-09-28,2016-10-07,open,97.1,open,103.98,102,701.760000000001
xg3_entry_open_exit_open,NFLX,2016-09-29,2016-10-07,open,97.31,open,103.98,102,680.3400000000001
xg3_entry_open_exit_open,NFLX,2016-09-30,2016-10-07,open,96.9,open,103.98,103,729.2399999999998
xg3_entry_open_exit_open,NFLX,2016-10-13,2016-10-28,open,98.01,open,126.08,102,2863.1399999999994
xg3_entry_open_exit_open,NFLX,2016-10-14,2016-10-28,open,101.59,open,126.08,98,2400.0199999999995
xg3_entry_open_exit_open,NFLX,2016-10-17,2016-10-28,open,100.5,open,126.08,99,2532.4199999999996
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
xg3_entry_open_exit_open,NFLX,2016-10-18,2016-10-28,open,116.63,open,126.08,85,803.2500000000002
