stock,date,open,close,label_3,label_7,xg3,xg7,log3,log7,open3,close3,open7,close7
AGN,2014-04-21,198.05,202.91,hold,hold,hold,hold,hold,buy,204.02,202.63,203.5,204.33
AGN,2014-04-22,204.0,205.67,hold,hold,sell,sell,hold,buy,202.07,198.07,207.93,202.34
AGN,2014-04-23,205.56,203.51,buy,buy,sell,hold,hold,buy,199.87,196.9,201.11,207.9
AGN,2014-04-24,204.02,202.63,sell,sell,hold,hold,hold,buy,198.87,197.81,203.54,202.0
AGN,2014-04-25,202.07,198.07,hold,sell,hold,hold,hold,buy,203.5,204.33,201.13,197.05
AGN,2014-04-28,199.87,196.9,hold,hold,buy,buy,hold,buy,207.93,202.34,196.0,196.18
AGN,2014-04-29,198.87,197.81,hold,hold,hold,hold,hold,buy,201.11,207.9,198.56,203.19
AGN,2014-04-30,203.5,204.33,hold,hold,hold,hold,hold,buy,203.54,202.0,203.72,206.97
AGN,2014-05-02,207.93,202.34,hold,hold,hold,sell,hold,buy,201.13,197.05,206.54,206.08
AGN,2014-05-05,201.11,207.9,hold,hold,sell,hold,hold,buy,196.0,196.18,205.13,205.55
AGN,2014-05-07,203.54,202.0,hold,buy,hold,hold,hold,buy,198.56,203.19,206.26,207.5
AGN,2014-05-08,201.13,197.05,hold,hold,buy,buy,hold,buy,203.72,206.97,206.98,208.56
AGN,2014-05-09,196.0,196.18,sell,sell,buy,buy,hold,buy,206.54,206.08,207.73,206.1
AGN,2014-05-12,198.56,203.19,hold,hold,hold,hold,hold,buy,205.13,205.55,206.36,208.25
AGN,2014-05-13,203.72,206.97,sell,sell,hold,hold,hold,buy,206.26,207.5,213.55,213.77
AGN,2014-05-14,206.54,206.08,hold,hold,hold,hold,hold,buy,206.98,208.56,,
AGN,2014-05-15,205.13,205.55,hold,hold,hold,buy,hold,buy,207.73,206.1,,
AGN,2014-05-16,206.26,207.5,hold,hold,hold,buy,hold,buy,206.36,208.25,,
AGN,2014-05-19,206.98,208.56,hold,hold,hold,hold,hold,buy,213.55,213.77,,
AGN,2014-05-20,207.73,206.1,hold,hold,buy,hold,hold,buy,,,,
AGN,2014-05-21,206.36,208.25,hold,hold,hold,hold,hold,buy,,,,
AGN,2014-05-23,213.55,213.77,hold,hold,hold,hold,hold,buy,,,,
CRM,2016-09-06,74.93,75.42,hold,hold,hold,sell,hold,buy,73.78,74.36,73.76,73.29
CRM,2016-09-08,75.0,74.88,hold,hold,hold,hold,hold,buy,73.65,73.06,73.72,73.0
CRM,2016-09-09,74.52,74.2,hold,hold,hold,hold,hold,buy,73.06,73.82,73.54,72.91
CRM,2016-09-12,73.78,74.36,hold,sell,hold,hold,hold,buy,73.52,73.99,73.22,74.18
CRM,2016-09-13,73.65,73.06,hold,hold,hold,hold,hold,buy,73.76,73.29,75.0,74.59
CRM,2016-09-14,73.06,73.82,hold,sell,hold,hold,hold,buy,73.72,73.0,73.09,70.39
CRM,2016-09-15,73.52,73.99,hold,buy,hold,hold,hold,buy,73.54,72.91,70.5,70.19
CRM,2016-09-16,73.76,73.29,hold,hold,hold,sell,hold,buy,73.22,74.18,69.97,70.05
CRM,2016-09-19,73.72,73.0,buy,buy,hold,sell,hold,buy,75.0,74.59,70.39,71.62
CRM,2016-09-20,73.54,72.91,buy,buy,sell,sell,hold,buy,73.09,70.39,71.6,71.2
CRM,2016-09-21,73.22,74.18,sell,sell,hold,hold,hold,buy,70.5,70.19,71.3,71.33
CRM,2016-09-22,75.0,74.59,hold,hold,sell,sell,hold,buy,69.97,70.05,71.15,70.52
CRM,2016-09-23,73.09,70.39,sell,sell,hold,hold,hold,buy,70.39,71.62,70.59,72.63
CRM,2016-09-26,70.5,70.19,hold,hold,hold,hold,hold,buy,71.6,71.2,68.21,68.42
CRM,2016-09-27,69.97,70.05,buy,buy,hold,buy,hold,buy,71.3,71.33,71.05,71.26
CRM,2016-09-28,70.39,71.62,hold,hold,hold,hold,hold,buy,71.15,70.52,71.25,70.91
CRM,2016-09-29,71.6,71.2,hold,hold,hold,hold,hold,buy,70.59,72.63,73.58,75.1
CRM,2016-09-30,71.3,71.33,hold,buy,sell,hold,hold,buy,68.21,68.42,73.9,72.42
CRM,2016-10-03,71.15,70.52,hold,buy,hold,buy,hold,buy,71.05,71.26,72.26,72.23
CRM,2016-10-04,70.59,72.63,hold,hold,hold,hold,hold,buy,71.25,70.91,70.98,74.27
CRM,2016-10-05,68.21,68.42,hold,hold,buy,buy,hold,buy,73.58,75.1,74.1,72.83
